Code,State,State Name,City
BHM,AL,Alabama,Birmingham
DHN,AL,Alabama,Dothan
HSV,AL,Alabama,Huntsville
MOB,AL,Alabama,Mobile
MGM,AL,Alabama,Montgomery
ADK,AK,Alaska,Adak Island
ANC,AK,Alaska,Anchorage
BRW,AK,Alaska,Barrow
BET,AK,Alaska,Bethel
CDV,AK,Alaska,Cordova
SCC,AK,Alaska,Deadhorse
DLG,AK,Alaska,Dillingham
FAI,AK,Alaska,Fairbanks
JNU,AK,Alaska,Juneau
KTN,AK,Alaska,Ketchikan
AKN,AK,Alaska,King Salmon
ADQ,AK,Alaska,Kodiak
OTZ,AK,Alaska,Kotzebue
OME,AK,Alaska,Nome
PSG,AK,Alaska,Petersburg
SIT,AK,Alaska,Sitka
WRG,AK,Alaska,Wrangell
YAK,AK,Alaska,Yakutat
FLG,AZ,Arizona,Flagstaff
PHX,AZ,Arizona,Phoenix
AZA,AZ,Arizona,Phoenix
PRC,AZ,Arizona,Prescott
TUS,AZ,Arizona,Tucson
YUM,AZ,Arizona,Yuma
XNA,AR,Arkansas,Fayetteville
FSM,AR,Arkansas,Fort Smith
LIT,AR,Arkansas,Little Rock
TXK,AR,Arkansas,Texarkana
ACV,CA,California,Arcata
BFL,CA,California,Bakersfield
BIH,CA,California,Bishop
BUR,CA,California,Burbank
FAT,CA,California,Fresno
LGB,CA,California,Long Beach
LAX,CA,California,Los Angeles
MRY,CA,California,Monterey
OAK,CA,California,Oakland
ONT,CA,California,Ontario
PSP,CA,California,Palm Springs
RDD,CA,California,Redding
SMF,CA,California,Sacramento
SAN,CA,California,San Diego
SFO,CA,California,San Francisco
SJC,CA,California,San Jose
SBP,CA,California,San Luis Obispo
SNA,CA,California,Santa Ana
SBA,CA,California,Santa Barbara
SMX,CA,California,Santa Maria
STS,CA,California,Santa Rosa
SCK,CA,California,Stockton
ALS,CO,Colorado,Alamosa
ASE,CO,Colorado,Aspen
COS,CO,Colorado,Colorado Springs
DEN,CO,Colorado,Denver
DRO,CO,Colorado,Durango
EGE,CO,Colorado,Eagle
GJT,CO,Colorado,Grand Junction
GUC,CO,Colorado,Gunnison
HDN,CO,Colorado,Hayden
MTJ,CO,Colorado,Montrose
PUB,CO,Colorado,Pueblo
BDL,CT,Connecticut,Hartford
ILG,DE,Delaware,Wilmington
